,0,1,2,3,4
458,"('00', '10')",0_,-2,"('00', '00')",False
459,"('00', '00')",2_,-2,"('20', '00')",False
460,"('20', '00')",1_,-2,"('10', '20')",False
461,"('10', '20')",1_,-2,"('10', '10')",False
462,"('10', '10')",0_,-2,"('00', '10')",False
463,"('21', '20')",1_,-2,"('11', '21')",False
464,"('11', '21')",0_,-2,"('01', '11')",False
465,"('01', '11')",2_,-2,"('21', '01')",False
466,"('21', '01')",_1,-2,"('21', '21')",False
467,"('21', '21')",0_,-2,"('01', '21')",False
468,"('01', '21')",_0,10,"('00', '01')",False
469,"('00', '01')",_0,-2,"('00', '00')",False
470,"('00', '00')",_0,-2,"('00', '00')",False
471,"('00', '00')",0_,-2,"('00', '00')",False
472,"('00', '00')",_0,-2,"('00', '00')",False
473,"('00', '00')",0_,-2,"('00', '00')",False
474,"('00', '00')",0_,-2,"('00', '00')",False
475,"('00', '00')",1_,-2,"('10', '00')",False
476,"('10', '00')",_0,-2,"('10', '10')",False
477,"('10', '10')",_1,-2,"('11', '10')",False
478,"('11', '10')",2_,-2,"('21', '11')",False
479,"('21', '11')",0_,-2,"('01', '21')",False
480,"('01', '21')",_0,10,"('00', '01')",False
481,"('00', '01')",0_,-2,"('00', '00')",False
482,"('00', '00')",1_,-2,"('10', '00')",False
483,"('01', '11')",_0,10,"('00', '01')",True
484,"('22', '21')",0_,-2,"('02', '22')",False
485,"('02', '22')",_0,10,"('00', '02')",False
486,"('00', '02')",2_,-2,"('20', '00')",False
487,"('20', '00')",_0,-2,"('20', '20')",False
488,"('20', '20')",0_,-2,"('00', '20')",False
489,"('00', '20')",_0,-2,"('00', '00')",False
490,"('00', '00')",1_,-2,"('10', '00')",False
491,"('10', '00')",_0,-2,"('10', '10')",False
492,"('10', '10')",_0,-2,"('10', '10')",False
493,"('10', '10')",_0,-2,"('10', '10')",False
494,"('10', '10')",_0,-2,"('10', '10')",False
495,"('10', '10')",_0,-2,"('10', '10')",False
496,"('10', '10')",_0,-2,"('10', '10')",False
497,"('10', '10')",_0,-2,"('10', '10')",False
498,"('10', '10')",0_,-2,"('00', '10')",False
499,"('00', '10')",2_,-2,"('20', '00')",False
500,"('20', '00')",_1,-2,"('21', '20')",False
501,"('21', '20')",0_,-2,"('01', '21')",False
502,"('01', '21')",_0,10,"('00', '01')",False
503,"('00', '01')",1_,-5,"('10', '00')",False
504,"('12', '10')",0_,-2,"('02', '12')",False
505,"('02', '12')",_0,10,"('00', '02')",False
506,"('00', '02')",_1,-10,"('01', '00')",False
507,"('01', '00')",0_,-2,"('01', '01')",False
508,"('01', '01')",_1,-2,"('01', '01')",False
509,"('01', '01')",_0,10,"('00', '01')",False
510,"('00', '01')",2_,-2,"('20', '00')",False
511,"('20', '00')",_1,-2,"('21', '20')",False
512,"('21', '20')",0_,-2,"('01', '21')",False
513,"('01', '21')",_0,10,"('00', '01')",False
514,"('00', '01')",2_,-2,"('20', '00')",False
515,"('20', '00')",_1,-2,"('21', '20')",False
516,"('21', '20')",0_,-2,"('01', '21')",False
517,"('01', '21')",1_,-2,"('11', '01')",False
518,"('11', '01')",_0,-2,"('10', '11')",False
519,"('10', '11')",_2,-2,"('12', '10')",False
520,"('12', '10')",0_,-2,"('02', '12')",False
521,"('02', '12')",2_,-2,"('22', '02')",False
522,"('22', '02')",_2,-2,"('22', '22')",False
523,"('22', '22')",0_,-2,"('02', '22')",False
524,"('02', '02')",_0,10,"('00', '02')",True
525,"('00', '10')",1_,-2,"('10', '00')",False
526,"('10', '00')",_0,-2,"('10', '10')",False
527,"('10', '10')",0_,-2,"('00', '10')",False
528,"('00', '10')",_0,-2,"('00', '00')",False
529,"('00', '00')",1_,-2,"('10', '00')",False
530,"('10', '00')",_0,-2,"('10', '10')",False
531,"('10', '10')",0_,-2,"('00', '10')",False
532,"('00', '10')",_0,-2,"('00', '00')",False
533,"('00', '00')",1_,-2,"('10', '00')",False
534,"('10', '00')",_0,-2,"('10', '10')",False
535,"('10', '10')",0_,-2,"('00', '10')",False
536,"('00', '10')",1_,-2,"('10', '00')",False
537,"('10', '00')",_0,-2,"('10', '10')",False
